EmploymentStatus,CreditScore,AnnualIncome,ExistingDebt,LoanApproved
Employed,Good,High,Yes,Yes
Employed,Good,High,No,Yes
Employed,Good,Low,Yes,No
Employed,Good,Low,No,No
Employed,Bad,High,Yes,No
Employed,Bad,High,No,Yes
Employed,Bad,Low,Yes,No
Employed,Bad,Low,No,No
Unemployed,Good,High,Yes,Yes
Unemployed,Good,High,No,Yes
Unemployed,Good,Low,Yes,No
Unemployed,Good,Low,No,No
Unemployed,Bad,High,Yes,No
Unemployed,Bad,High,No,Yes
Unemployed,Bad,Low,Yes,No
Unemployed,Bad,Low,No,No
Employed,Good,High,Yes,Yes
Employed,Good,High,No,Yes
Employed,Good,Low,Yes,No
Employed,Good,Low,No,No
Employed,Bad,High,Yes,No
Employed,Bad,High,No,Yes
Employed,Bad,Low,Yes,No
Employed,Bad,Low,No,No
Unemployed,Good,High,Yes,Yes
Unemployed,Good,High,No,Yes
Unemployed,Good,Low,Yes,No
Unemployed,Good,Low,No,No
Unemployed,Bad,High,Yes,No
Unemployed,Bad,High,No,Yes
Unemployed,Bad,Low,Yes,No
Unemployed,Bad,Low,No,No
Employed,Good,High,Yes,Yes
Employed,Good,High,No,Yes
Employed,Good,Low,Yes,No
Employed,Good,Low,No,No
Employed,Bad,High,Yes,No
Employed,Bad,High,No,Yes
Employed,Bad,Low,Yes,No
Employed,Bad,Low,No,No
Unemployed,Good,High,Yes,Yes
Unemployed,Good,High,No,Yes
Unemployed,Good,Low,Yes,No
Unemployed,Good,Low,No,No
Unemployed,Bad,High,Yes,No
Unemployed,Bad,High,No,Yes
Unemployed,Bad,Low,Yes,No
Unemployed,Bad,Low,No,No
Employed,Good,High,Yes,Yes
Employed,Good,High,No,Yes
Employed,Good,High,No,Yes
Employed,Good,High,No,Yes
Employed,Good,High,No,Yes
